id,code,defination,c_id,type_id
RHI,RHI,Village of Hillburn,Rockland,village
RKA,RKA,Village of Kaser,Rockland,village
RMO,RMO,Village of Montebello,Rockland,village
RNH,RNH,Village of New Hempstead,Rockland,village
RNS,RNS,Village of New Square,Rockland,village
RPO,RPO,Village of Pomona,Rockland,village
RSL,RSL,Village of Sloatsburg,Rockland,village
RSU,RSU,Village of Suffern,Rockland,village
RSV,RSV,Village of Spring Valley,Rockland,village
RWH,RWH,Village of Wesley Hills,Rockland,village
2,2,Village of New Paltz,Ulster,village
11,11,Claryville Fire District,Ulster,fire_district
13,13,Fire Protection District,Ulster,fire_district
21,21,Rifton Fire District,Ulster,fire_district
22,22,Esopus Fire District,Ulster,fire_district
23,23,St Remy Fire District,Ulster,fire_district
24,24,Port Ewen Fire District,Ulster,fire_district
31,31,South Rondout Fire District,Ulster,fire_district
41,41,Gardiner Fire District,Ulster,fire_district
42,42,Middle Hardenburgh Fire District,Ulster,fire_district
43,43,Hardenburgh Fire District,Ulster,fire_district
44,44,Arena Fire District,Ulster,fire_district
51,51,Hurley Fire District,Ulster,fire_district
52,52,West Hurley Fire District,Ulster,fire_district
61,61,Sawkill Fire District,Ulster,fire_district
65,65,Stony Hollo Fire District,Ulster,fire_district
72,72,Highland Fire District,Ulster,fire_district
81,81,Stone Ridge Fire District,Ulster,fire_district
82,82,High Falls Fire District,Ulster,fire_district
83,83,Cottekill Fire District,Ulster,fire_district
84,84,Marbletown Fire District,Ulster,fire_district
85,85,Lamontville Fire District,Ulster,fire_district
86,86,Kripplebush Fire District,Ulster,fire_district
87,87,Valley Atwood Fire District,Ulster,fire_district
91,91,Marlborough Fire District,Ulster,fire_district
92,92,Milton Fire District,Ulster,fire_district
101,101,New Paltz Fire District,Ulster,fire_district
111,111,Olive Fire District,Ulster,fire_district
121,121,Clintondale Fire District,Ulster,fire_district
122,122,Modena Fire District,Ulster,fire_district
123,123,Plattekill Fire District,Ulster,fire_district
131,131,Accord Fire District,Ulster,fire_district
143,143,Tillson Fire District,Ulster,fire_district
145,145,Bloomington Fire District,Ulster,fire_district
148,148,Rosendale Fire District,Ulster,fire_district
151,151,Glasco Fire District,Ulster,fire_district
152,152,Centerville Fire District,Ulster,fire_district
153,153,Malden-WestCamp Fire District,Ulster,fire_district
154,154,Mt Marion Fire District,Ulster,fire_district
155,155,Saxton Fire District,Ulster,fire_district
156,156,Fire Protection District,Ulster,fire_district
161,161,Phoenicia Fire District,Ulster,fire_district
162,162,Big Indian Oliverea Fire District,Ulster,fire_district
163,163,Highmount Fire District,Ulster,fire_district
164,164,Pine Hill Fire District,Ulster,fire_district
171,171,Wallkill Fire District,Ulster,fire_district
172,172,Prospect Fire District,Ulster,fire_district
174,174,Shawangunk Valley Fire District,Ulster,fire_district
176,176,Walker Valley Fire District,Ulster,fire_district
181,181,Ulster Hose #5,Ulster,fire_district
182,182,Ruby Fire District,Ulster,fire_district
183,183,East Kingston Fire District,Ulster,fire_district
184,184,Eddyville Fire Protection,Ulster,fire_district
185,185,Ulster Host #5 Bond,Ulster,fire_district
186,186,Ulster #1 (Spring Lake),Ulster,fire_district
191,191,Kerhonkson Fire District,Ulster,fire_district
192,192,Napanoch Fire District,Ulster,fire_district
193,193,Ellenville Fire District,Ulster,fire_district
194,194,Cragsmoor Fire District,Ulster,fire_district
201,201,Woodstock Fire District,Ulster,fire_district
28,28,South Rondout Fire District,Ulster,fire_district
CAR,CAR,Carmel,Putnam,town
KEN,KEN,Kent,Putnam,town
PAT,PAT,Patterson,Putnam,town
PHI,PHI,Philipstown,Putnam,town
PUT,PUT,Putnam Valley,Putnam,town
SOU,SOU,Southeast,Putnam,town
1,1,1st City Council District,Westchester,user1
2,2,2nd City Council District,Westchester,user1
3,3,3rd City Council District,Westchester,user1
4,4,4th City Council District,Westchester,user1
5,5,5th City Council District,Westchester,user1
6,6,6th City Council District,Westchester,user1
BED,BED,Bedford,Westchester,town
COR,COR,Cortlandt,Westchester,town
EAS,EAS,Eastchester,Westchester,town
GRE,GRE,Greenburgh,Westchester,town
HAR,HAR,Harrison,Westchester,town
LEW,LEW,Lewisboro,Westchester,town
MAM,MAM,Mamaroneck,Westchester,town
MTK,MTK,Mount Kisco,Westchester,town
MTP,MTP,Mount Pleasant,Westchester,town
NWC,NWC,New Castle,Westchester,town
NOC,NOC,North Castle,Westchester,town
NOS,NOS,North Salem,Westchester,town
OSS,OSS,Ossining,Westchester,town
PEL,PEL,Pelham,Westchester,town
POU,POU,Pound Ridge,Westchester,town
RYT,RYT,Rye Town,Westchester,town
SCA,SCA,Scarsdale,Westchester,town
SOM,SOM,Somers,Westchester,town
YOR,YOR,Yorktown,Westchester,town
MTV,MTV,Mount Vernon,Westchester,town
NWR,NWR,New Rochelle,Westchester,town
PEE,PEE,Peekskill,Westchester,town
RYC,RYC,Rye City,Westchester,town
WHI,WHI,White Plains,Westchester,town
YON,YON,Yonkers,Westchester,town
ARD,ARD,Ardsley,Westchester,village
BRI,BRI,Briarcliff Manor,Westchester,village
BRO,BRO,Bronxville,Westchester,village
BUC,BUC,Buchanan,Westchester,village
CRO,CRO,Croton-on-Hudson,Westchester,village
DOB,DOB,Dobbs Ferry,Westchester,village
ELM,ELM,Elmsford,Westchester,village
HAS,HAS,Hasings-on-Hudson,Westchester,village
IRV,IRV,Irvington,Westchester,village
LAR,LAR,Larchmont,Westchester,village
MAM,MAM,Mamaroneck,Westchester,village
MTK,MTK,Mount Kisco,Westchester,village
SLE,SLE,Sleepy Hollow,Westchester,village
OSS,OSS,Ossining,Westchester,village
PEL,PEL,Pelham,Westchester,village
PEM,PEM,Pelham Manor,Westchester,village
PLE,PLE,Pleasantville,Westchester,village
POR,POR,Port Chester,Westchester,village
RYE,RYE,Rye Brook,Westchester,village
SCA,SCA,Scarsdale,Westchester,village
TAR,TAR,Tarrytown,Westchester,village
TUC,TUC,Tuckahoe,Westchester,village
1,1,Bedford Village,Westchester,fire_district
2,2,Katonah,Westchester,fire_district
3,3,Bedford Hills,Westchester,fire_district
4,4,Verplanck,Westchester,fire_district
5,5,Montrose,Westchester,fire_district
6,6,Lake Mohegan,Westchester,fire_district
7,7,EAS - Bronxville Village Hall,Westchester,fire_district
8,8,EAS - Tuckahoe Comm Center,Westchester,fire_district
9,9,EAS - Chester Heights Firehouse,Westchester,fire_district
10,10,EAS - Town Hall,Westchester,fire_district
11,11,EAS - Leroy Gregory Post,Westchester,fire_district
12,12,Hartsdale,Westchester,fire_district
13,13,Fairview,Westchester,fire_district
14,14,Greenville,Westchester,fire_district
15,15,Purchase,Westchester,fire_district
16,16,Vista,Westchester,fire_district
17,17,Golden's Bridge,Westchester,fire_district
18,18,South Salem,Westchester,fire_district
19,19,Mamaroneck,Westchester,fire_district
20,20,Pleasantville,Westchester,fire_district
21,21,Thornwood,Westchester,fire_district
22,22,Hawthorne,Westchester,fire_district
23,23,Valhalla,Westchester,fire_district
24,24,Scarborough,Westchester,fire_district
25,25,Millwood,Westchester,fire_district
26,26,New Castle #1,Westchester,fire_district
27,27,North Castles #1,Westchester,fire_district
28,28,North Castle #2,Westchester,fire_district
29,29,Pound Ridge,Westchester,fire_district
30,30,Somers,Westchester,fire_district
31,31,Yorktown,Westchester,fire_district
ARD,ARD,Ardsley,Westchester,school_district
BED,BED,Bedford Central,Westchester,school_district
BLI,BLI,Blind Brook,Westchester,school_district
BRI,BRI,Briarcliff Manor,Westchester,school_district
BRO,BRO,Bronxville,Westchester,school_district
BYR,BYR,Byram Hills,Westchester,school_district
CHA,CHA,Chappaqua,Westchester,school_district
CRO,CRO,Croton-Harmon,Westchester,school_district
DOB,DOB,Dobbs Ferry,Westchester,school_district
EAS,EAS,Eastchester,Westchester,school_district
